2021-11-21 19:39:25,134 lr: 0.01
2021-11-21 19:39:25,134 l2_reg: 0.01
2021-11-21 19:39:25,134 grad_bound: 5.0
2021-11-21 19:39:25,134 train_log_every: 100
2021-11-21 19:39:25,135 resume: False
2021-11-21 19:39:25,135 batch_size: 128
2021-11-21 19:39:25,135 data_path: ../../datasets
2021-11-21 19:39:25,135 checkpoint_path: checkpoints
2021-11-21 19:39:25,135 data_nums_workers: 8
2021-11-21 19:39:25,135 epoch: 120
2021-11-21 19:39:25,136 nr: 0.4
2021-11-21 19:39:25,136 loss: SCE
2021-11-21 19:39:25,136 alpha: 0.1
2021-11-21 19:39:25,136 beta: 1.0
2021-11-21 19:39:25,136 version: SCE0.4_CIFAR10
2021-11-21 19:39:25,136 dataset_type: cifar10
2021-11-21 19:39:25,136 asym: False
2021-11-21 19:39:25,137 seed: 123
2021-11-21 19:39:25,137 Using CUDA!
2021-11-21 19:39:41,428 SCELoss
2021-11-21 19:39:41,432 Number of Trainable Parameters 1.6398
2021-11-21 19:39:50,608 ====================Training====================
2021-11-21 19:39:54,013 lr: 0.01
2021-11-21 19:39:54,013 l2_reg: 0.01
2021-11-21 19:39:54,013 grad_bound: 5.0
2021-11-21 19:39:54,013 train_log_every: 100
2021-11-21 19:39:54,013 resume: False
2021-11-21 19:39:54,014 batch_size: 128
2021-11-21 19:39:54,014 data_path: ../../datasets
2021-11-21 19:39:54,014 checkpoint_path: checkpoints
2021-11-21 19:39:54,014 data_nums_workers: 8
2021-11-21 19:39:54,014 epoch: 120
2021-11-21 19:39:54,014 nr: 0.4
2021-11-21 19:39:54,014 loss: SCE
2021-11-21 19:39:54,014 alpha: 0.1
2021-11-21 19:39:54,015 beta: 1.0
2021-11-21 19:39:54,015 version: SCE0.4_CIFAR10
2021-11-21 19:39:54,015 dataset_type: cifar10
2021-11-21 19:39:54,015 asym: False
2021-11-21 19:39:54,015 seed: 123
2021-11-21 19:39:54,015 Using CUDA!
2021-11-21 19:39:57,770 lr: 0.01
2021-11-21 19:39:57,770 l2_reg: 0.01
2021-11-21 19:39:57,770 grad_bound: 5.0
2021-11-21 19:39:57,770 train_log_every: 100
2021-11-21 19:39:57,771 resume: False
2021-11-21 19:39:57,771 batch_size: 128
2021-11-21 19:39:57,771 data_path: ../../datasets
2021-11-21 19:39:57,771 checkpoint_path: checkpoints
2021-11-21 19:39:57,771 data_nums_workers: 8
2021-11-21 19:39:57,771 epoch: 120
2021-11-21 19:39:57,771 nr: 0.4
2021-11-21 19:39:57,771 loss: SCE
2021-11-21 19:39:57,772 alpha: 0.1
2021-11-21 19:39:57,772 beta: 1.0
2021-11-21 19:39:57,772 version: SCE0.4_CIFAR10
2021-11-21 19:39:57,772 dataset_type: cifar10
2021-11-21 19:39:57,772 asym: False
2021-11-21 19:39:57,772 seed: 123
2021-11-21 19:39:57,772 Using CUDA!
2021-11-21 19:40:02,109 lr: 0.01
2021-11-21 19:40:02,110 l2_reg: 0.01
2021-11-21 19:40:02,110 grad_bound: 5.0
2021-11-21 19:40:02,110 train_log_every: 100
2021-11-21 19:40:02,110 resume: False
2021-11-21 19:40:02,110 batch_size: 128
2021-11-21 19:40:02,110 data_path: ../../datasets
2021-11-21 19:40:02,110 checkpoint_path: checkpoints
2021-11-21 19:40:02,111 data_nums_workers: 8
2021-11-21 19:40:02,111 epoch: 120
2021-11-21 19:40:02,111 nr: 0.4
2021-11-21 19:40:02,111 loss: SCE
2021-11-21 19:40:02,111 alpha: 0.1
2021-11-21 19:40:02,111 beta: 1.0
2021-11-21 19:40:02,111 version: SCE0.4_CIFAR10
2021-11-21 19:40:02,111 dataset_type: cifar10
2021-11-21 19:40:02,112 asym: False
2021-11-21 19:40:02,112 seed: 123
2021-11-21 19:40:02,112 Using CUDA!
2021-11-21 19:40:06,470 lr: 0.01
2021-11-21 19:40:06,470 l2_reg: 0.01
2021-11-21 19:40:06,471 grad_bound: 5.0
2021-11-21 19:40:06,471 train_log_every: 100
2021-11-21 19:40:06,471 resume: False
2021-11-21 19:40:06,471 batch_size: 128
2021-11-21 19:40:06,471 data_path: ../../datasets
2021-11-21 19:40:06,471 checkpoint_path: checkpoints
2021-11-21 19:40:06,471 data_nums_workers: 8
2021-11-21 19:40:06,471 epoch: 120
2021-11-21 19:40:06,472 nr: 0.4
2021-11-21 19:40:06,472 loss: SCE
2021-11-21 19:40:06,472 alpha: 0.1
2021-11-21 19:40:06,472 beta: 1.0
2021-11-21 19:40:06,472 version: SCE0.4_CIFAR10
2021-11-21 19:40:06,472 dataset_type: cifar10
2021-11-21 19:40:06,472 asym: False
2021-11-21 19:40:06,472 seed: 123
2021-11-21 19:40:06,473 Using CUDA!
2021-11-21 19:40:10,503 lr: 0.01
2021-11-21 19:40:10,503 l2_reg: 0.01
2021-11-21 19:40:10,503 grad_bound: 5.0
2021-11-21 19:40:10,504 train_log_every: 100
2021-11-21 19:40:10,504 resume: False
2021-11-21 19:40:10,504 batch_size: 128
2021-11-21 19:40:10,504 data_path: ../../datasets
2021-11-21 19:40:10,504 checkpoint_path: checkpoints
2021-11-21 19:40:10,504 data_nums_workers: 8
2021-11-21 19:40:10,504 epoch: 120
2021-11-21 19:40:10,504 nr: 0.4
2021-11-21 19:40:10,505 loss: SCE
2021-11-21 19:40:10,505 alpha: 0.1
2021-11-21 19:40:10,505 beta: 1.0
2021-11-21 19:40:10,505 version: SCE0.4_CIFAR10
2021-11-21 19:40:10,505 dataset_type: cifar10
2021-11-21 19:40:10,505 asym: False
2021-11-21 19:40:10,505 seed: 123
2021-11-21 19:40:10,505 Using CUDA!
2021-11-21 19:40:14,253 lr: 0.01
2021-11-21 19:40:14,253 l2_reg: 0.01
2021-11-21 19:40:14,254 grad_bound: 5.0
2021-11-21 19:40:14,254 train_log_every: 100
2021-11-21 19:40:14,254 resume: False
2021-11-21 19:40:14,254 batch_size: 128
